# Generated from chinese-idiom-chengyu 1.1.0 WordPinyinPairs.json.
# Format: text<TAB>pinyin<TAB>weight<TAB>source-tier
# Tier 1 keeps dictionary-only idioms behind primary conversational words.
一块石头落了地	yi kuai shi tou luo le di	1	1
一块石头落地	yi kuai shi tou luo di	1	1
一塌刮子	yi ta gua zi	1	1
一塌糊涂	yi ta hu tu	1	1
一塌胡涂	yi ta hu tu	1	1
一壶千金	yi hu qian jin	1	1
一壸千金	yi kui qian jin	1	1
一夔一契	yi kui yi qi	1	1
一夔已足	yi kui yi zu	1	1
一夕一朝	yi xi yi zhao	1	1
一天一地	yi tian yi di	1	1
一天星斗	yi tian xing dou	1	1
一夫之勇	yi fu zhi yong	1	1
一夫之用	yi fu zhi yong	1	1
一夫当关	yi fu dang guan	1	1
一失足成千古恨	yi shi zu cheng qian gu hen	1	1
一如既往	yi ru ji wang	1	1
一孔不达	yi kong bu da	1	1
一孔之见	yi kong zhi jian	1	1
一字一句	yi zi yi ju	1	1
一字一板	yi zi yi ban	1	1
一字一泪	yi zi yi lei	1	1
一字一珠	yi zi yi zhu	1	1
一字不易	yi zi bu yi	1	1
一字不苟	yi zi bu gou	1	1
一字之师	yi zi zhi shi	1	1
一字兼金	yi zi jian jin	1	1
一字千秋	yi zi qian qiu	1	1
一字千金	yi zi qian jin	1	1
一字千钧	yi zi qian jun	1	1
一字师	yi zi shi	1	1
一字褒贬	yi zi bao bian	1	1
一字连城	yi zi lian cheng	1	1
一字长城	yi zi chang cheng	1	1
一字长蛇阵	yi zi chang she zhen	1	1
一官半职	yi guan ban zhi	1	1
一定不易	yi ding bu yi	1	1
一定不移	yi ding bu yi	1	1
一定之规	yi ding zhi gui	1	1
一客不烦二主	yi ke bu fan er zhu	1	1
一室生春	yi shi sheng chun	1	1
一家一火	yi jia yi huo	1	1
一家一计	yi jia yi ji	1	1
一家之作	yi jia zhi zuo	1	1
一家之学	yi jia zhi xue	1	1
一家之言	yi jia zhi yan	1	1
一家之计	yi jia zhi ji	1	1
一家之辞	yi jia zhi ci	1	1
一家无二	yi jia wu er	1	1
一家眷属	yi jia juan shu	1	1
一家老小	yi jia lao xiao	1	1
一寒如此	yi han ru ci	1	1
一寸丹心	yi cun dan xin	1	1
一寸光阴一寸金	yi cun guang yin yi cun jin	1	1
一寸赤心	yi cun chi xin	1	1
一射之地	yi she zhi di	1	1
一尘不到	yi chen bu dao	1	1
一尘不染	yi chen bu ran	1	1
一尘不缁	yi chen bu zi	1	1
一尺水十丈波	yi chi shui shi zhang bo	1	1
一尺水翻腾做一丈波	yi chi shui fan teng zuo yi zhang bo	1	1
一尺水翻腾做百丈波	yi chi shui fan teng zuo bai zhang bo	1	1
一山不藏二虎	yi shan bu cang er hu	1	1
一岁三迁	yi sui san qian	1	1
一岁九迁	yi sui jiu qian	1	1
一岁再赦	yi sui zai she	1	1
一岁载赦	yi sui zai she	1	1
一差两讹	yi cha liang e	1	1
一差二悮	yi cha er wu	1	1
一差二误	yi cha er wu	1	1
一差二错	yi cha er cuo	1	1
一差半错	yi cha ban cuo	1	1
一己之私	yi ji zhi si	1	1
一己之见	yi ji zhi jian	1	1
一帆顺风	yi fan shun feng	1	1
一帆风顺	yi fan feng shun	1	1
一席之地	yi xi zhi di	1	1
一干二净	yi gan er jing	1	1
一干人犯	yi gan ren fan	1	1
一年一度	yi nian yi du	1	1
一年之计在于春	yi nian zhi ji zai yu chun	1	1
一年半载	yi nian ban zai	1	1
一床两好	yi chuang liang hao	1	1
一床锦被遮盖	yi chuang jin bei zhe gai	1	1
一应俱全	yi ying ju quan	1	1
一座皆惊	yi zuo jie jing	1	1
一廉如水	yi lian ru shui	1	1
一式一样	yi shi yi yang	1	1
一弛一张	yi chi yi zhang	1	1
一张一弛	yi zhang yi chi	1	1
一弹指顷	yi tan zhi qing	1	1
一彻万融	yi che wan rong	1	1
一往情深	yi wang qing shen	1	1
一往无前	yi wang wu qian	1	1
一往直前	yi wang zhi qian	1	1
一往而深	yi wang er shen	1	1
一得之功	yi de zhi gong	1	1
一得之愚	yi de zhi yu	1	1
一得之见	yi de zhi jian	1	1
一德一心	yi de yi xin	1	1
一心一力	yi xin yi li	1	1
一心一德	yi xin yi de	1	1
一心一意	yi xin yi yi	1	1
一心一腹	yi xin yi fu	1	1
一心一计	yi xin yi ji	1	1
一心一路	yi xin yi lu	1	1
一心同体	yi xin tong ti	1	1
一心同功	yi xin tong gong	1	1
一心同归	yi xin tong gui	1	1
一心无二	yi xin wu er	1	1
一念之差	yi nian zhi cha	1	1
一念之误	yi nian zhi wu	1	1
一息奄奄	yi xi yan yan	1	1
一息尚存	yi xi shang cun	1	1
一悲一喜	yi bei yi xi	1	1
一意孤行	yi yi gu xing	1	1
一成一旅	yi cheng yi lv	1	1
一成不变	yi cheng bu bian	1	1
一成不易	yi cheng bu yi	1	1
一手一脚	yi shou yi jiao	1	1
一手一足	yi shou yi zu	1	1
一手包办	yi shou bao ban	1	1
一手托天	yi shou tuo tian	1	1
一手遮天	yi shou zhe tian	1	1
一扫而光	yi sao er guang	1	1
一扫而空	yi sao er kong	1	1
一技之长	yi ji zhi chang	1	1
一把死拿	yi ba si na	1	1
一抔黄土	yi pou huang tu	1	1
一报还一报	yi bao huan yi bao	1	1
一拍即合	yi pai ji he	1	1
一拥而上	yi yong er shang	1	1
一拥而入	yi yong er ru	1	1
一挥九制	yi hui jiu zhi	1	1
一挥而就	yi hui er jiu	1	1
一挥而成	yi hui er cheng	1	1
一掊土	yi pou tu	1	1
一接如旧	yi jie ru jiu	1	1
一推两搡	yi tui liang sang	1	1
一掷乾坤	yi zhi qian kun	1	1
一掷千金	yi zhi qian jin	1	1
一掷百万	yi zhi bai wan	1	1
一揽包收	yi lan bao shou	1	1
一搭一档	yi da yi dang	1	1
一搭两用	yi da liang yong	1	1
一支半节	yi zhi ban jie	1	1
一改故辙	yi gai gu zhe	1	1
一文不值	yi wen bu zhi	1	1
一文不名	yi wen bu ming	1	1
一文如命	yi wen ru ming	1	1
一文钱难倒英雄汉	yi wen qian nan dao ying xiong han	1	1
一斑半点	yi ban ban dian	1	1
一斑窥豹	yi ban kui bao	1	1
一方之任	yi fang zhi ren	1	1
一无可取	yi wu ke qu	1	1
一无所取	yi wu suo qu	1	1
一无所得	yi wu suo de	1	1
一无所成	yi wu suo cheng	1	1
一无所有	yi wu suo you	1	1
